City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Undurkhaan,47.3194,110.6556,273.09,49,15,2.91,MN,1714254011
229,San antonio de pale,-1.4014,5.6325,301.78,84,43,3.62,GQ,1714253906
230,Saint-laurent-du-maroni,5.5039,-54.0289,299.66,75,100,1.92,GF,1714254012
231,Hammerfest,70.6634,23.6821,273.4,74,75,4.12,NO,1714254012
232,Montepuez,-13.1256,38.9997,292.32,87,3,4.07,MZ,1714253778
233,El dorado,38.7666,-120.5177,291.47,55,15,3.86,US,1714254012
234,Dunedin,-45.8742,170.5036,284.15,99,2,1.26,NZ,1714253902
235,Heniches'k,46.1759,34.8034,288.56,67,51,6.31,UA,1714253945
236,Essaouira,31.5125,-9.77,289.87,77,20,2.57,MA,1714254012
237,Coquimbo,-29.9533,-71.3436,290.0,72,0,6.69,CL,1714253668
238,Gisborne,-38.6533,178.0042,286.84,58,0,1.8,NZ,1714254012
239,Vorgashor,67.5833,63.95,265.41,95,84,5.28,RU,1714253910
240,Cam ranh,11.9214,109.1591,302.13,74,0,3.09,VN,1714254012
241,Kodiak,57.79,-152.4072,279.88,76,100,6.69,US,1714253900
242,Porto novo,6.4965,2.6036,303.05,83,19,3.02,BJ,1714254013
243,Sevastopol,44.6,33.5333,287.04,61,100,3.86,UA,1714253872
244,Jianshui,23.6363,102.8264,291.7,39,1,2.2,CN,1714254013
245,Zaragoza,41.6561,-0.8773,287.6,58,0,3.6,ES,1714253843
246,Sitka,57.0531,-135.33,284.09,71,100,2.57,US,1714253924
247,Birjand,32.8663,59.2211,284.41,58,0,3.09,IR,1714254013
248,Bratsk,56.1325,101.6142,274.42,83,77,3.65,RU,1714254013
249,Paulden,34.8856,-112.4682,290.07,48,100,4.92,US,1714254013
250,Las animas,-39.8087,-73.2182,285.23,88,39,1.47,CL,1714254013
251,Twon-brass,4.3151,6.2418,302.11,78,93,5.18,NG,1714254013
252,Egilsstadir,65.2653,-14.3948,276.1,93,75,5.66,IS,1714254013
253,Zambezi,-13.5432,23.1047,289.66,57,0,2.29,ZM,1714254013
254,Mildura,-34.2,142.15,285.62,51,34,2.33,AU,1714254013
255,Cienfuegos,22.1461,-80.4356,301.04,56,93,7.14,CU,1714254014
256,Carbonear,47.7332,-53.2148,275.61,80,100,6.97,CA,1714254014
257,Ghormach,35.7306,63.7826,288.86,57,99,2.42,AF,1714254014
258,Katsuura,35.1333,140.3,291.25,89,18,2.64,JP,1714253930
259,Sechura,-5.5569,-80.8222,298.96,62,58,6.03,PE,1714254014
260,Male,4.1748,73.5089,302.12,89,75,4.63,MV,1714254014
261,Cidade velha,14.9167,-23.6167,297.41,73,20,7.72,CV,1714254014
262,Chibougamau,49.9168,-74.3659,287.94,26,100,5.66,CA,1714253899
263,Connellsville,40.0178,-79.5895,299.55,84,100,3.37,US,1714254015
264,Paraiso,9.8383,-83.8656,297.63,65,100,1.63,CR,1714254015
265,Isangel,-19.55,169.2667,299.21,78,75,1.03,VU,1714253867
266,Miasskoye,55.2784,61.8905,290.85,88,100,5.59,RU,1714254015
267,Gizo,-8.103,156.8419,302.17,76,82,1.84,SB,1714253940
268,Chui,-33.6971,-53.4616,288.33,64,100,2.42,UY,1714254015
269,Singtam,27.2333,88.5,294.45,48,7,1.67,IN,1714254015
270,Nadi,-17.8,177.4167,302.15,65,75,1.54,FJ,1714253920
271,Bundaberg,-24.85,152.35,292.71,92,7,2.24,AU,1714254015
272,Glendive,47.1053,-104.7125,290.24,33,40,5.14,US,1714254015
273,Katabu,-4.9333,122.5167,297.4,95,97,1.66,ID,1714254015
274,Makushino,55.2103,67.2442,285.91,64,100,7.57,RU,1714254015
275,Severo-yeniseyskiy,60.3725,93.0408,271.25,96,100,2.68,RU,1714253932
276,I-n-salah,27.1935,2.4607,301.63,7,80,4.33,DZ,1714253926
277,Yopal,5.3378,-72.3959,298.8,81,95,0.8,CO,1714254015
278,Slyudyanka,51.6594,103.7061,274.27,72,53,2.43,RU,1714254016
279,Voznesenskoye,54.89,42.7569,284.16,93,32,3.82,RU,1714254016
280,Dzilam gonzalez,21.2833,-88.9333,308.4,30,80,2.47,MX,1714254016
281,Port alfred,-33.5906,26.891,292.14,77,46,2.68,ZA,1714253922
282,Al kharijah,25.4514,30.5464,294.71,17,0,4.11,EG,1714253931
283,Hasaki,35.7333,140.8333,289.42,87,11,3.12,JP,1714253904
284,Prince rupert,54.3161,-130.3201,283.2,74,75,10.29,CA,1714254016
285,Char bhadrasan,23.3167,90.2167,299.86,91,18,3.99,BD,1714254016
286,Constantia,44.1833,28.65,283.54,73,62,3.67,RO,1714253789
287,Lospalos,-8.5186,127.0025,295.49,94,93,2.88,TL,1714254016
288,Pitkyaranta,61.5734,31.4792,275.66,86,6,2.42,RU,1714254016
289,Samana,19.2056,-69.3369,300.13,94,40,0.0,DO,1714254016
290,Veraval,20.9,70.3667,300.64,56,51,5.18,IN,1714254016
291,Bamboo flat,11.7,92.7167,300.2,94,20,1.03,IN,1714254016
292,Tosontsengel,48.7567,98.2839,266.84,77,16,2.13,MN,1714254016
293,Igarka,67.4667,86.5833,270.38,89,100,4.02,RU,1714254017
294,Doka,13.5167,35.7667,307.94,12,100,2.59,SD,1714254017
295,Gadzhiyevo,69.2551,33.3362,272.28,86,100,4.53,RU,1714253934
296,Rio rico,31.4715,-110.9765,295.44,27,75,2.57,US,1714254017
297,Sao vicente,-23.9631,-46.3919,306.25,74,20,1.54,BR,1714254017
298,Sittwe,20.15,92.9,300.69,86,0,1.43,MM,1714254017
299,Yamada,39.4667,141.95,291.13,75,0,0.48,JP,1714254017
300,Colonel hill,22.7667,-74.2167,297.69,66,16,11.28,BS,1714254017
301,Quellon,-43.1167,-73.6167,282.49,90,100,4.28,CL,1714253945
302,Watertown,42.3709,-71.1828,292.42,39,0,5.36,US,1714253844
303,Port-gentil,-0.7193,8.7815,301.31,88,22,6.49,GA,1714254017
304,Saint-philippe,-21.3585,55.7679,298.92,83,85,1.23,RE,1714253937
305,Myeik,12.4333,98.6,299.99,83,7,1.19,MM,1714254017
306,Suihua,46.6406,126.9969,277.71,68,32,4.92,CN,1714253855
307,Palikir - national government center,6.9248,158.1611,300.93,79,83,8.93,FM,1714254017
308,Alta,69.9689,23.2717,273.74,69,75,2.57,NO,1714254018
309,Selinsgrove,40.799,-76.8622,284.77,73,100,2.57,US,1714254018
310,La passe,45.5549,-0.8967,285.36,84,85,7.41,FR,1714253900
311,Dongola,19.1667,30.4833,302.64,19,0,8.28,SD,1714254018
312,Amalapuram,16.5833,82.0167,298.58,96,6,0.64,IN,1714254018
313,El alto,-4.2714,-81.2147,300.96,77,41,5.01,PE,1714254018
314,Sorong,-0.8833,131.25,299.27,90,93,2.84,ID,1714254018
315,Carauari,-4.8828,-66.8958,298.97,95,98,0.49,BR,1714254018
316,Itoman,26.1247,127.6694,298.16,88,40,2.06,JP,1714254018
317,Puerto aysen,-45.4,-72.7,277.8,100,100,2.66,CL,1714254018
318,Pahasu,28.1833,78.05,300.33,26,0,3.69,IN,1714254018
319,Tazovsky,67.4667,78.7,270.14,98,100,2.95,RU,1714253911
320,Mek'ele,13.4967,39.4753,292.51,63,48,2.66,ET,1714254018
321,Ocean shores,46.9737,-124.1563,284.15,94,100,6.17,US,1714253945
322,Kapa'a,22.0752,-159.319,299.33,81,75,4.63,US,1714254019
323,Naze,28.3667,129.4833,293.66,87,22,1.34,JP,1714253938
324,Caldas novas,-17.7417,-48.625,296.88,62,35,0.85,BR,1714254019
325,Buga,3.9009,-76.2978,297.99,85,93,0.78,CO,1714254019
326,Udachny,66.4167,112.4,258.19,99,89,1.7,RU,1714253905
327,Akjoujt,19.6969,-14.4164,299.57,45,86,6.3,MR,1714254019
328,Aylmer,42.7668,-80.983,298.01,85,84,6.9,CA,1714254019
329,Kimbe,-5.5502,150.1429,299.57,90,87,1.68,PG,1714254019
330,Timbuktu,16.7735,-3.0074,306.66,11,0,4.35,ML,1714254020
331,Hats'avan,39.4641,45.9705,281.19,60,0,2.26,AM,1714254020
332,Upata,8.0086,-62.3989,305.48,33,100,2.97,VE,1714254020
333,Vega de alatorre,20.0333,-96.6333,302.39,70,90,3.92,MX,1714254020
334,Nizhneudinsk,54.9076,99.0276,276.37,90,97,2.34,RU,1714253886
335,Saint-louis du nord,19.9333,-72.7167,298.95,82,92,10.28,HT,1714254020
336,Katsuren-haebaru,26.3369,127.8719,298.16,94,0,1.54,JP,1714253940
337,Newport,51.5877,-2.9984,281.61,84,100,7.43,GB,1714253818
338,Whitehorse,60.7161,-135.0538,285.58,26,40,3.6,CA,1714253910
339,Mount pearl,47.5166,-52.7813,274.9,79,75,9.26,CA,1714253820
340,Taldykorgan,45.0156,78.3739,279.3,72,100,0.95,KZ,1714254020
